header_length,protocol_type,time_to_live,rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,http,https,dns,tcp,udp,icmp,tot_sum,min_packet_size,max_packet_size,avg_packet_size,std_packet_size,tot_size,iat,packet_number,variance,attack_type,attack_class,is_attack,flow_id,severity,source_country,destination_server,source_ip
18.8,6,66.1,26.118503,0.0,0.0,0.0,0.1,0.6,6,0,0,0,0.0,0.6,0.0,0.6,0.1,0.0,766,60,156,76.6,31.127693993184483,76.6,0.037236,10,968.9333333333332,VulnerabilityScan,Recon,1,ciciot2023-0002100,medium,United States,camera-vlan-02,10.93.8.60
23.2,6,83.8,217.24323,0.0,0.0,0.0,0.3,0.7,7,0,0,0,0.0,0.7,0.0,0.7,0.1,0.0,3507,60,1538,350.7,561.5894209988091,350.7,0.004482,10,315382.67777777766,DictionaryBruteForce,BruteForce,1,ciciot2023-0002101,high,China,iot-dmz-api-04,10.159.8.61
20.0,6,64.0,27654.236576,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,3.5e-05,100,0.0,DoS-TCP_Flood,DoS,1,ciciot2023-0002102,critical,Netherlands,camera-vlan-02,10.77.8.62
0.0,47,64.0,12273.779189,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59200,592,592,592.0,0.0,592.0,8e-05,100,0.0,Mirai-greeth_flood,Mirai,1,ciciot2023-0002103,critical,Indonesia,edge-gateway-01,10.112.8.63
32.0,6,215.2,5437.572753,0.0,0.0,0.0,0.0,1.0,10,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,2108,66,1514,210.8,457.8978051923813,210.8,0.001145,10,209670.4,Recon-PortScan,Recon,1,ciciot2023-0002104,medium,United States,camera-vlan-02,10.93.8.64
0.0,1,64.0,129800.123787,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6000,60,60,60.0,0.0,60.0,7e-06,100,0.0,DDoS-ICMP_Flood,DDoS,1,ciciot2023-0002105,critical,China,camera-vlan-02,10.89.8.65
32.0,6,64.0,1290.151379,0.0,0.0,0.0,0.1,1.0,10,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,27209,1514,5858,2720.9,1513.677380127982,2720.9,0.000931,10,2291219.211111111,BenignTraffic,Benign,0,ciciot2023-0002106,low,Spain,edge-gateway-01,10.37.8.66
8.0,17,64.0,52797.938127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6000,60,60,60.0,0.0,60.0,1.8e-05,100,0.0,DDoS-UDP_Flood,DDoS,1,ciciot2023-0002107,critical,United States,iot-dmz-api-04,10.89.8.67
24.8,6,45.5,41.246052,0.2,0.1,0.0,0.1,0.6,6,1,2,0,0.1,0.6,0.0,0.7,0.2,0.0,1093,60,339,109.3,93.52961503656952,109.3,0.023574,10,8747.788888888888,Recon-PortScan,Recon,1,ciciot2023-0002108,medium,United States,camera-vlan-02,10.93.8.68
8.0,17,64.0,4830.308228,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,55400,554,554,554.0,0.0,554.0,0.000201,100,0.0,Mirai-udpplain,Mirai,1,ciciot2023-0002109,critical,South Korea,smart-home-hub-03,10.112.8.69
25.52,6,87.39,2659.215508,0.01,0.2,0.21,0.18,0.79,79,20,1,21,0.79,0.2,0.0,0.99,0.01,0.0,13817,60,2962,138.17,352.4095142835616,138.17,0.000364,100,124192.46575757576,DDoS-SlowLoris,DDoS,1,ciciot2023-0002110,critical,China,smart-home-hub-03,10.89.8.70
17.6,17,61.6,137.445985,0.0,0.1,0.0,0.0,0.3,3,1,0,0,0.1,0.3,0.3,0.4,0.5,0.1,5276,60,1514,527.6,682.0697585698662,527.6,0.007901,10,465219.15555555554,BenignTraffic,Benign,0,ciciot2023-0002111,low,United States,camera-vlan-02,10.37.8.71
21.6,6,151.9,493.270483,0.0,0.4,0.6,0.0,0.6,6,4,0,6,0.0,0.0,0.0,1.0,0.0,0.0,600,60,60,60.0,0.0,60.0,0.002011,10,0.0,Recon-HostDiscovery,Recon,1,ciciot2023-0002112,medium,United States,camera-vlan-02,10.93.8.72
33.6,6,63.42,3441.731492,0.0,0.26,0.0,0.31,0.84,84,26,0,0,0.0,0.03,0.0,0.98,0.02,0.0,9786,62,234,97.86,59.0839190892877,97.86,0.000281,100,3490.909494949495,DDoS-SlowLoris,DDoS,1,ciciot2023-0002113,critical,Brazil,camera-vlan-02,10.89.8.73
23.2,6,63.6,138.531651,0.0,0.1,0.0,0.2,0.5,5,1,0,0,0.1,0.5,0.0,0.6,0.4,0.0,14815,60,9239,1481.5,2881.967932969877,1481.5,0.007184,10,8305739.166666667,BenignTraffic,Benign,0,ciciot2023-0002114,low,Spain,edge-gateway-01,10.37.8.74
12.0,17,76.7,67.360495,0.0,0.1,0.0,0.1,0.2,2,1,0,0,0.0,0.1,0.2,0.3,0.5,0.2,896,60,164,89.6,31.166934045198893,89.6,0.015349,10,971.3777777777776,BenignTraffic,Benign,0,ciciot2023-0002115,low,United States,camera-vlan-02,10.37.8.75
9.88,6,65.91,2842.811934,0.0,0.0,0.0,0.0,0.49,49,0,0,0,0.0,0.0,0.0,0.49,0.01,0.0,93116,230,1514,931.16,574.3543537193423,931.16,0.00034,100,329882.9236363633,DDoS-ACK_Fragmentation,DDoS,1,ciciot2023-0002116,critical,Russia,edge-gateway-01,10.89.8.76
0.08,1,65.27,3106.072925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.01,0.98,92057,60,1514,920.57,586.056643158235,920.57,0.000312,100,343462.3889898989,DDoS-ICMP_Fragmentation,DDoS,1,ciciot2023-0002117,critical,United States,camera-vlan-02,10.89.8.77
10.68,6,74.13,296.102999,0.0,0.02,0.02,0.01,0.44,44,2,0,2,0.0,0.03,0.01,0.47,0.08,0.0,83524,60,1514,835.24,588.9679231889075,835.24,0.00327,100,346883.2145454549,DDoS-ACK_Fragmentation,DDoS,1,ciciot2023-0002118,critical,Brazil,smart-home-hub-03,10.89.8.78
0.0,47,63.36,4542.831579,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,58668,60,592,586.68,53.19999999999994,586.68,0.000213,100,2830.2399999999934,Mirai-greeth_flood,Mirai,1,ciciot2023-0002119,critical,Indonesia,edge-gateway-01,10.112.8.79
0.0,47,64.0,5433.573089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59200,592,592,592.0,0.0,592.0,0.00018,100,0.0,Mirai-greeth_flood,Mirai,1,ciciot2023-0002120,critical,Japan,camera-vlan-02,10.112.8.80
20.0,6,94.1,394.386836,0.0,0.0,0.0,0.1,0.8,8,0,0,0,0.6,0.2,0.2,0.8,0.2,0.0,8357,66,1500,835.7,621.8581563883091,835.7,0.002611,10,386707.56666666665,DNS_Spoofing,Spoofing,1,ciciot2023-0002121,high,Netherlands,camera-vlan-02,10.67.8.81
20.0,6,64.0,24804.684609,0.0,1.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,3.9e-05,100,0.0,DDoS-SYN_Flood,DDoS,1,ciciot2023-0002122,critical,United States,smart-home-hub-03,10.89.8.82
0.32,47,65.71,15871.211904,0.0,0.0,0.0,0.0,0.01,1,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,57288,66,578,572.88,51.19999999999999,572.88,6.2e-05,100,2621.4399999999987,Mirai-greip_flood,Mirai,1,ciciot2023-0002123,critical,Indonesia,edge-gateway-01,10.112.8.83
9.48,6,61.34,2315.722878,0.0,0.0,0.0,0.0,0.47,47,0,0,0,0.0,0.0,0.01,0.47,0.01,0.01,88569,60,1514,885.69,599.909819738085,885.69,0.00042,100,359891.7918181817,DDoS-ACK_Fragmentation,DDoS,1,ciciot2023-0002124,critical,India,edge-gateway-01,10.89.8.84
8.0,17,64.0,4898.52995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,55400,554,554,554.0,0.0,554.0,0.000198,100,0.0,Mirai-udpplain,Mirai,1,ciciot2023-0002125,critical,South Korea,smart-home-hub-03,10.112.8.85
20.0,6,64.0,32668.506403,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,3e-05,100,0.0,DDoS-TCP_Flood,DDoS,1,ciciot2023-0002126,critical,Russia,smart-home-hub-03,10.89.8.86
20.0,6,64.0,32979.800893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,2.9e-05,100,0.0,DoS-TCP_Flood,DoS,1,ciciot2023-0002127,critical,Turkey,smart-home-hub-03,10.77.8.87
35.04,6,64.0,2300.780855,0.01,0.36,0.11,0.13,0.89,89,36,1,11,0.98,0.02,0.0,1.0,0.0,0.0,64824,60,2962,648.24,767.2834952090406,648.24,0.000421,100,588723.9620202018,DoS-HTTP_Flood,DoS,1,ciciot2023-0002128,critical,Russia,iot-dmz-api-04,10.77.8.88
3.92,17,63.36,2827.093051,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.49,0.0,92346,60,1514,923.46,582.5368314535996,923.46,0.000342,100,339349.1599999995,DDoS-UDP_Fragmentation,DDoS,1,ciciot2023-0002129,critical,India,camera-vlan-02,10.89.8.89
8.48,17,65.86,9455.112656,0.0,0.0,0.0,0.01,0.02,2,0,0,0,0.0,0.02,0.0,0.02,0.98,0.0,18762,66,860,187.62,68.90056955387583,187.62,0.000102,100,4747.28848484848,DoS-UDP_Flood,DoS,1,ciciot2023-0002130,critical,Netherlands,camera-vlan-02,10.77.8.90
20.0,6,64.0,23906.094382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,4e-05,100,0.0,DoS-TCP_Flood,DoS,1,ciciot2023-0002131,critical,Turkey,smart-home-hub-03,10.77.8.91
34.96,6,64.18,656.430872,0.04,0.17,0.08,0.07,0.89,89,17,4,8,0.93,0.05,0.01,0.98,0.01,0.01,14300,60,1510,143.0,272.64536480471287,143.0,0.001474,100,74335.49494949495,DoS-HTTP_Flood,DoS,1,ciciot2023-0002132,critical,Russia,iot-dmz-api-04,10.77.8.92
19.6,6,51.1,221.521548,0.0,0.0,0.0,0.1,0.8,8,0,0,0,0.0,0.8,0.0,0.8,0.0,0.0,3250,60,2692,325.0,831.6838341581494,325.0,0.004368,10,691698.0,Recon-PingSweep,Recon,1,ciciot2023-0002133,medium,China,smart-home-hub-03,10.93.8.93
7.92,17,63.36,6171.863077,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.99,0.0,54906,60,554,549.06,49.39999999999992,549.06,0.000158,100,2440.3599999999924,Mirai-udpplain,Mirai,1,ciciot2023-0002134,critical,Brazil,iot-dmz-api-04,10.112.8.94
17.6,17,57.6,371.888546,0.1,0.1,0.0,0.1,0.3,3,1,1,0,0.2,0.1,0.1,0.4,0.5,0.0,752,60,176,75.2,35.76714817942422,75.2,0.002988,10,1279.288888888889,BenignTraffic,Benign,0,ciciot2023-0002135,low,United States,camera-vlan-02,10.37.8.95
9.92,6,65.06,579.670479,0.0,0.01,0.0,0.01,0.48,48,1,0,0,0.0,0.0,0.0,0.49,0.01,0.0,90111,60,1514,901.11,581.945967414415,901.11,0.001669,100,338661.1089898994,DDoS-ACK_Fragmentation,DDoS,1,ciciot2023-0002136,critical,Russia,edge-gateway-01,10.89.8.96
