header_length,protocol_type,time_to_live,rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,http,https,dns,tcp,udp,icmp,tot_sum,min_packet_size,max_packet_size,avg_packet_size,std_packet_size,tot_size,iat,packet_number,variance,attack_type,attack_class,is_attack,flow_id,severity,source_country,destination_server,source_ip
0.0,47,64.0,5779.746172608138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59200,592,592,592.0,0.0,592.0,0.0001736879348754,100,0.0,Mirai-greeth_flood,Mirai,1,ciciot2023-0000000,critical,Japan,camera-vlan-02,10.112.0.0
10.2,6,63.36,1974.3011132293063,0.0,0.01,0.01,0.0,0.48,48,1,0,1,0.0,0.01,0.0,0.5,0.0,0.0,91192,60,1514,911.92,583.7202124859531,911.92,0.0005065298080444,100,340729.2864646463,DDoS-ACK_Fragmentation,DDoS,1,ciciot2023-0000001,critical,Russia,camera-vlan-02,10.89.0.1
1.0,47,65.23,2090.5250356370307,0.0,0.0,0.0,0.01,0.02,2,0,0,0,0.0,0.0,0.03,0.02,0.03,0.0,56660,74,592,566.6,111.30211865082175,566.6,0.0004801201820373,100,12388.161616161608,Mirai-greeth_flood,Mirai,1,ciciot2023-0000002,critical,Brazil,iot-dmz-api-04,10.112.0.2
20.12,6,65.74,26638.9583994919,0.0,0.99,0.0,0.0,0.01,1,99,0,0,0.0,0.01,0.0,1.0,0.0,0.0,6006,60,66,60.06,0.5999999999999993,60.06,3.753900527954101e-05,100,0.3599999999999992,DDoS-SynonymousIP_Flood,DDoS,1,ciciot2023-0000003,critical,Brazil,iot-dmz-api-04,10.89.0.3
4.0,47,64.42,1854.663960486228,0.01,0.09,0.01,0.01,0.02,2,9,1,1,0.0,0.1,0.0,0.11,0.0,0.0,51211,54,578,512.11,171.3366286088013,512.11,0.0005406403541564,100,29356.240303030307,Mirai-greip_flood,Mirai,1,ciciot2023-0000004,critical,Japan,camera-vlan-02,10.112.0.4
8.0,17,64.0,32508.944349713223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6000,60,60,60.0,0.0,60.0,3.07607650756836e-05,100,0.0,DDoS-UDP_Flood,DDoS,1,ciciot2023-0000005,critical,China,camera-vlan-02,10.89.0.5
0.0,1,64.0,32197.006217855225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6000,60,60,60.0,0.0,60.0,3.105878829956055e-05,100,0.0,DDoS-ICMP_Flood,DDoS,1,ciciot2023-0000006,critical,Russia,smart-home-hub-03,10.89.0.6
0.0,1,64.0,30949.704840613933,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6000,60,60,60.0,0.0,60.0,3.231048583984375e-05,100,0.0,DDoS-ICMP_Flood,DDoS,1,ciciot2023-0000007,critical,United States,iot-dmz-api-04,10.89.0.7
0.0,1,64.0,18043.897612389763,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6000,60,60,60.0,0.0,60.0,5.54203987121582e-05,100,0.0,DDoS-ICMP_Flood,DDoS,1,ciciot2023-0000008,critical,Brazil,edge-gateway-01,10.89.0.8
4.0,17,64.0,1859.3998395198007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,93800,362,1514,938.0,578.9017815893061,938.0,0.0005378293991088,100,335127.2727272727,DDoS-UDP_Fragmentation,DDoS,1,ciciot2023-0000009,critical,India,camera-vlan-02,10.89.0.9
22.36,6,64.0,77271.62859248342,0.0,1.0,0.0,0.0,0.59,59,100,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6000,60,60,60.0,0.0,60.0,1.2941360473632813e-05,100,0.0,DoS-SYN_Flood,DoS,1,ciciot2023-0000010,critical,Netherlands,camera-vlan-02,10.77.0.10
20.0,6,92.9,36.64184450447114,0.0,0.2,0.0,0.1,0.4,4,2,0,0,0.5,0.0,0.1,0.5,0.3,0.1,1214,60,262,121.4,80.08911703013504,121.4,0.0273266077041626,10,6414.266666666666,VulnerabilityScan,Recon,1,ciciot2023-0000011,medium,Vietnam,edge-gateway-01,10.93.0.11
9.2,17,56.8,1911.628458137733,0.0,0.0,0.0,0.0,0.1,1,0,0,0,0.0,0.0,0.0,0.1,0.9,0.0,5477,54,978,547.7,443.3225687916193,547.7,0.000899314880371,10,196534.9,MITM-ArpSpoofing,Spoofing,1,ciciot2023-0000012,high,Netherlands,edge-gateway-01,10.67.0.12
1.12,47,69.32,13007.2070954537,0.0,0.02,0.0,0.0,0.03,3,2,0,0,0.0,0.03,0.0,0.03,0.0,0.0,56893,74,679,568.93,71.7745143424246,568.93,7.80487060546875e-05,100,5151.580909090913,Mirai-greip_flood,Mirai,1,ciciot2023-0000013,critical,South Korea,smart-home-hub-03,10.112.0.13
15.2,17,63.7,105.32630204409622,0.0,0.0,0.0,0.3,0.4,4,0,0,0,0.0,0.2,0.0,0.4,0.6,0.0,1632,60,782,163.2,222.52730169576944,163.2,0.012037706375122,10,49518.4,BenignTraffic,Benign,0,ciciot2023-0000014,low,Spain,edge-gateway-01,10.37.0.14
8.0,17,64.0,1746.3605552641002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,55400,554,554,554.0,0.0,554.0,0.0005738902091979,100,0.0,Mirai-udpplain,Mirai,1,ciciot2023-0000015,critical,Indonesia,edge-gateway-01,10.112.0.15
21.6,6,87.9,83.5372285336435,0.0,0.0,0.0,0.3,0.7,7,0,0,0,0.0,0.5,0.0,0.7,0.2,0.0,818,60,156,81.8,34.24357198398295,81.8,0.012262487411499,10,1172.6222222222225,Recon-HostDiscovery,Recon,1,ciciot2023-0000016,medium,United States,camera-vlan-02,10.93.0.16
8.0,17,64.0,43177.92876261067,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6000,60,60,60.0,0.0,60.0,2.315998077392578e-05,100,0.0,DDoS-UDP_Flood,DDoS,1,ciciot2023-0000017,critical,United States,camera-vlan-02,10.89.0.17
32.0,6,59.7,366.5965108555047,0.1,0.0,0.0,0.4,1.0,10,0,1,0,0.1,0.3,0.0,1.0,0.0,0.0,2127,66,791,212.7,304.55105392108635,212.7,0.0107393980026245,10,92751.34444444445,VulnerabilityScan,Recon,1,ciciot2023-0000018,medium,India,iot-dmz-api-04,10.93.0.18
11.2,17,94.5,30.92813821530883,0.0,0.0,0.0,0.1,0.2,2,0,0,0,0.0,0.2,0.4,0.2,0.6,0.2,1602,66,344,160.2,83.7971094701694,160.2,0.0381774187088012,10,7021.955555555555,BenignTraffic,Benign,0,ciciot2023-0000019,low,United States,camera-vlan-02,10.37.0.19
22.4,6,82.7,115.39075675333645,0.0,0.0,0.0,0.1,0.6,6,0,0,0,0.0,0.5,0.0,0.6,0.4,0.0,5224,60,1514,522.4,686.1498378634218,522.4,0.0086754083633422,10,470801.6,BenignTraffic,Benign,0,ciciot2023-0000020,low,Morocco,smart-home-hub-03,10.37.0.20
34.36,6,67.18,1592.6849643817309,0.02,0.46,0.12,0.14,0.61,61,46,2,12,0.97,0.0,0.0,0.98,0.01,0.0,16807,60,2962,168.07,353.6094191521645,168.07,0.0006278800964355,100,125039.6213131312,DDoS-HTTP_Flood,DDoS,1,ciciot2023-0000021,critical,Russia,camera-vlan-02,10.89.0.21
